processed_sentence,mainkeyword_list
not what i would have expected from a mega aquarium. if you want to see whale sharks they have them one of the few in the world parking was horrible especially if you drive anything bigger than a mid size car so keep that in mind it seems like they put everything into the big tank the shark tank is pitiful there are other smaller exhibits that are okay that is it p s on entry make sure they do not mess up your pictures ,"['aquarium', 'Exhibits', 'Experience', 'ocean voyager', 'ocean voyager', 'Parking']"
not have clear directions so take your time before go out airport staff hardly can help you anything ,"['Security', 'Staff']"
translated by google the fact that one can quickly use the marta public transportation system is very good. translated by google the fact that one can quickly use the marta public transportation system is very good ,['Ground Transportation']
"do not miss the dolphin show and sea lion shows sometimes due to the floating crowds, they require you to reserve yourself for the show so you might want to make your reservation for these events before hand instead of walking in ","['Crowd', 'dolphin show', 'Entertainment', 'Events', 'Others']"
a busy birthday yesterday for bean. looking forward to seeing what other shenanigans we get into this year love you so much little one ,"['Crowd', 'Events']"
and ticket is a bit more expensive than other aquariums we 've gone to. ,"['aquarium', 'Price', 'Ticket']"
"perhaps it would have been a nicer experience if there were less people. we went on a weekday, and there were still a lot of people. too crowded, so we barely got to enjoy anything. ",['Experience']
can not beat the enormity of this place and all the unique creatures housed here. its a great place to learn for people of all ages ,"['Experience', 'Groups']"
"amazing it is a must-do in atlanta i do recommend purchasing a ticket ahead of time. and be sure which parking garage you parked in, there are 2 on-site. ","['Atlanta', 'Parking', 'Ticket']"
took tickets for 4d experience it was worth it the beluga whale show was good we did not have much time to explore may be next time i get a chance to see more of it parking spot was difficult to find there is one paid parking 5 minutes away from the aquarium but the price was unreasonable ,['Parking']
